시도,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,위험점수,체불_전체,체불_2025이후
전남,정보통신업,190,3052,997966200,101,97,0.3,326987.61467889906,0.032437745740498035,16.063157894736843,0.009722665548418141,1,0
강원,운수창고업,299,5118,1635189300,136,116,0.32441471571906355,319497.713950762,0.0246189917936694,17.11705685618729,-0.001915405491755599,1,0
충북,정보통신업,189,3112,1114462060,131,104,0.32275132275132273,358117.6285347044,0.03775706940874036,16.465608465608465,-0.0020841208092289474,0,0
대전,정보통신업,713,20242,6420717680,669,573,0.2847124824684432,317197.7907321411,0.030678786681157987,28.389901823281907,-0.007613170014343099,0,0
강원,전문과학기술,1165,25223,8377817900,908,759,0.29871244635193134,332149.9385481505,0.0330452364905047,21.650643776824033,-0.011684908972439406,0,0
충남,기타,3581,57096,16259801400,1541,1595,0.23205808433398492,284780.04413619166,0.027462519265797954,15.944149678860654,-0.01817929830033967,0,0
대구,정보통신업,459,7598,2477381180,238,240,0.28540305010893247,326057.01237167674,0.03145564622269018,16.553376906318082,-0.04144854968585815,0,0
제주,기타,1655,30746,8663213680,770,746,0.2217522658610272,281767.1788200091,0.024653613478176024,18.57764350453172,-0.07192839395316197,0,0
경남,전문과학기술,2442,52670,17102415640,1957,1535,0.25757575757575757,324708.85969242454,0.03314980064552876,21.56838656838657,-0.08633775335694788,2,0
울산,기타,1658,31583,8859601360,963,842,0.18335343787696018,280518.0432511161,0.028575499477567046,19.048854041013268,-0.11169447231279606,0,0
대전,전문과학기술,1494,39027,13461345800,1382,1080,0.29451137884872824,344923.9193378943,0.03154226561098727,26.122489959839356,-0.1120091285118026,1,0
경남,운수창고업,733,13378,4355486280,321,290,0.3042291950886767,325570.8087905517,0.022835999402003287,18.251023192360165,-0.1186758989317087,0,0
대구,운수창고업,376,12982,4906543860,329,337,0.375,377949.76582961023,0.02565090124788168,34.526595744680854,-0.13510290465495725,0,0
서울,기타,13467,312254,100434644900,9879,8521,0.25150367565159276,321644.0618855163,0.029463193425864842,23.18660429197297,-0.14370494020792332,0,0
경남,기타,6359,107445,31313783200,3040,2951,0.19814436232111968,291440.11540788313,0.027879380147982687,16.89652461078786,-0.14705958003459774,0,0
전남,협회수리개인,369,6618,2464192660,205,163,0.34688346883468835,372347.0323360532,0.02780296161982472,17.934959349593495,-0.15505599216581534,1,0
충북,기타,2834,49025,14619804780,1459,1239,0.21030345800988004,298211.2142784294,0.027516573176950537,17.298870853916725,-0.1582960825395809,0,0
경북,전문과학기술,1828,32537,11125874380,990,945,0.28227571115973743,341945.3047299997,0.029735378184835726,17.799234135667398,-0.1591550384325523,1,0
경기,기타,18128,313939,92350868820,8668,7569,0.20504192409532215,294168.1945218657,0.025860119322543552,17.317906001765223,-0.17491650657813848,0,0
경북,협회수리개인,418,7911,2622867460,257,237,0.24880382775119617,331546.8916698268,0.031222348628491974,18.925837320574164,-0.17675303610576706,0,0
강원,제조업,1676,32409,11166895540,1038,900,0.27684964200477324,344561.55820913945,0.029899102101268168,19.33711217183771,-0.18508007223611234,2,0
대전,기타,2189,43119,12976677360,1097,908,0.22978529008679763,300950.3318722605,0.023249611540156312,19.698035632709,-0.18511037196391025,0,0
