시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
경북,예천군,건설업,156,994,277103060,71,41,0.5128205128205128,278775.71428571426,0.056338028169014086,6.371794871794871,0.719,0.625,1.608,0.9841,93.3,0,0
강원,원주시,숙박음식점업,93,1036,244136780,98,75,0.25806451612903225,235653.26254826254,0.0834942084942085,11.13978494623656,1.605,1.657,-0.311,0.9836,93.3,0,0
경남,김해시,건설업,614,4290,1414349480,525,223,0.4739413680781759,329685.19347319345,0.08717948717948718,6.986970684039088,-0.164,1.797,1.315,0.9824,93.2,2,1
대구,달서구,숙박음식점업,73,725,161442520,58,43,0.2876712328767123,222679.33793103448,0.0696551724137931,9.931506849315069,1.903,1.131,-0.088,0.9821,93.2,0,0
인천,미추홀구,건설업,324,3064,1135304740,541,113,0.4567901234567901,370530.26762402087,0.10672323759791123,9.45679012345679,-0.78,2.539,1.186,0.9817,93.1,5,1
충북,청주시,건설업,1980,20544,7438738140,3438,1389,0.38535353535353534,362088.11039719626,0.11747955607476636,10.375757575757575,-0.658,2.948,0.648,0.979,93.1,2,1
경북,포항시,숙박음식점업,72,1009,271736640,81,82,0.3611111111111111,269312.82457879087,0.08077304261645193,14.01388888888889,0.901,1.553,0.465,0.9733,93.0,0,0
전북,김제시,건설업,273,1761,540340480,170,82,0.4981684981684982,306837.2969903464,0.07155025553662692,6.450549450549451,0.214,1.203,1.497,0.9715,93.0,0,0
경북,고령군,건설업,108,622,179553140,47,26,0.5185185185185185,288670.6430868167,0.058681672025723476,5.7592592592592595,0.536,0.714,1.651,0.9668,92.9,0,0
충남,금산군,건설업,150,848,246574760,62,52,0.48,290772.12264150946,0.06721698113207547,5.653333333333333,0.497,1.038,1.361,0.9655,92.8,0,0
경기,양주시,부동산업,105,945,249037020,46,28,0.5523809523809524,263531.2380952381,0.039153439153439155,9.0,1.016,-0.028,1.906,0.9646,92.8,0,0
전남,영광군,건설업,199,1468,446015140,141,96,0.44221105527638194,303825.02724795643,0.08072207084468665,7.376884422110553,0.266,1.551,1.076,0.9645,92.7,0,0
경기,화성시,숙박음식점업,232,2072,545091020,212,175,0.27586206896551724,263074.8166023166,0.09338803088803088,8.931034482758621,1.025,2.033,-0.177,0.9602,92.7,1,0
서울,송파구,숙박음식점업,422,14678,3905047240,1359,1238,0.3080568720379147,266047.63864286686,0.08846573102602534,34.78199052132702,0.966,1.846,0.066,0.959,92.6,0,0
경북,영양군,기타,59,520,127249660,20,50,0.3559322033898305,244710.88461538462,0.0673076923076923,8.813559322033898,1.406,1.042,0.426,0.9581,92.6,0,0
경기,안양시,숙박음식점업,129,1143,298106340,116,81,0.3023255813953488,260810.44619422572,0.08617672790901137,8.86046511627907,1.07,1.759,0.022,0.9505,92.5,0,0
강원,춘천시,건설업,544,3550,1088759860,339,229,0.4430147058823529,306692.9183098592,0.08,6.525735294117647,0.217,1.524,1.082,0.9409,92.5,0,0
충남,아산시,건설업,757,8776,3253241400,1547,553,0.3751651254953765,370697.515952598,0.11964448495897903,11.593130779392338,-0.782,3.03,0.571,0.9396,92.4,3,1
서울,동대문구,건설업,279,2440,854705440,332,153,0.43727598566308246,350289.11475409835,0.09938524590163934,8.745519713261649,-0.484,2.26,1.039,0.9385,92.4,1,0
경남,진주시,숙박음식점업,62,607,145988920,41,36,0.3548387096774194,240508.9291598023,0.06342668863261944,9.790322580645162,1.497,0.895,0.418,0.9366,92.3,0,0
전북,군산시,건설업,553,4261,1416904780,514,244,0.45207956600361665,332528.69748885237,0.08894625674724244,7.705244122965642,-0.21,1.864,1.15,0.9348,92.3,2,0
부산,부산진구,숙박음식점업,156,2130,571112320,233,185,0.25,268127.8497652582,0.09812206572769953,13.653846153846153,0.925,2.212,-0.372,0.9218,92.2,0,0
서울,중랑구,건설업,279,1952,666043760,246,85,0.4838709677419355,341210.9426229508,0.08478483606557377,6.996415770609319,-0.345,1.706,1.39,0.9167,92.2,3,3
경북,안동시,건설업,463,3238,1033082900,336,124,0.5053995680345572,319049.6911673873,0.07103150092649783,6.993520518358531,0.008,1.183,1.552,0.9145,92.1,0,0
대구,중구,건설업,103,904,330489880,141,60,0.39805825242718446,365586.1504424779,0.11117256637168142,8.776699029126213,-0.709,2.708,0.743,0.9142,92.0,1,0
경기,안산시,숙박음식점업,137,1208,321380980,103,99,0.31386861313868614,266043.85761589406,0.0836092715231788,8.817518248175183,0.966,1.661,0.109,0.9121,92.0,0,0
강원,홍천군,건설업,237,1553,499522300,171,83,0.45569620253164556,321649.9034127495,0.08177720540888603,6.552742616033755,-0.034,1.592,1.177,0.9116,91.9,1,0
경기,김포시,건설업,653,5761,2122158780,847,286,0.4655436447166922,368366.39125151886,0.0983336226349592,8.822358346094946,-0.749,2.221,1.252,0.9077,91.9,3,0
경남,창녕군,건설업,104,852,268102320,84,44,0.47115384615384615,314674.08450704225,0.07511737089201878,8.192307692307692,0.081,1.339,1.294,0.9045,91.8,0,0
서울,금천구,숙박음식점업,66,528,132675320,38,34,0.3484848484848485,251279.01515151514,0.06818181818181818,8.0,1.267,1.075,0.37,0.9039,91.8,0,0
경기,부천시,숙박음식점업,145,1312,349673940,104,98,0.3448275862068966,266519.77134146343,0.07698170731707317,9.048275862068966,0.956,1.409,0.343,0.9027,91.7,1,0
전남,신안군,건설업,176,1238,373865900,138,55,0.42613636363636365,301991.84168012923,0.07794830371567044,7.034090909090909,0.298,1.446,0.955,0.8996,91.7,0,0
경기,평택시,건설업,1617,41903,17308333820,9563,1873,0.3500309214594929,413057.15151659783,0.13645801016633655,25.91403834260977,-1.352,3.669,0.382,0.8994,91.6,4,2
