스냅샷,시도,시군구,업종대분류,가입자수,위험점수,위험백분위,이직률,인당보험료
2026-05,경기,김포시,협회수리개인,1248,0.3808,73.7,0.037259615384615384,272559.08653846156
2026-05,경기,남양주시,건설업,7789,0.7389,86.7,0.08210296572088843,344813.9658492746
2026-05,경기,남양주시,금융보험업,895,-0.7721,14.0,0.01452513966480447,463136.8715083799
2026-05,경기,남양주시,기타,12347,0.0724,51.3,0.02939985421559893,251930.2680813153
2026-05,경기,남양주시,도소매업,15332,0.3044,68.2,0.0317962431515784,299308.2781111401
2026-05,경기,남양주시,보건사회복지,5791,-0.7081,16.5,0.039198756691417716,315014.00448972546
2026-05,경기,남양주시,부동산업,3531,0.3554,72.0,0.038516001132823566,302353.6505239309
2026-05,경기,남양주시,숙박음식점업,1471,0.6422,83.9,0.06458191706322229,265644.3643779742
2026-05,경기,남양주시,운수창고업,2068,-0.1276,38.4,0.024903288201160542,348458.77176015475
2026-05,경기,남양주시,전문과학기술,5309,0.3317,70.2,0.035129026181955174,306578.93011866644
2026-05,경기,남양주시,정보통신업,804,0.7184,86.0,0.03917910447761194,296471.0696517413
2026-05,경기,남양주시,제조업,16180,-0.1254,38.5,0.025834363411619283,326289.76761433866
2026-05,경기,남양주시,협회수리개인,1779,0.1329,55.7,0.03485103991006183,285995.97526700393
2026-05,경기,동두천시,건설업,543,2.0271,99.6,0.15009208103130756,334269.72375690605
2026-05,경기,동두천시,기타,1524,0.0746,51.5,0.031167979002624673,243150.15748031496
2026-05,경기,동두천시,보건사회복지,960,-0.5036,23.4,0.0390625,275865.0833333333
2026-05,경기,동두천시,부동산업,1320,0.847,89.9,0.020075757575757577,249143.42424242425
2026-05,경기,동두천시,제조업,2266,-0.2547,32.6,0.031112091791703444,328029.81465136807
2026-05,경기,부천시,건설업,6229,0.8775,90.9,0.10427034837052497,368595.85808315943
2026-05,경기,부천시,교육서비스업,574,0.4874,79.0,0.042682926829268296,259363.13588850174
2026-05,경기,부천시,금융보험업,1177,-0.886,10.4,0.011469838572642312,461547.62956669496
2026-05,경기,부천시,기타,13114,0.01,47.7,0.029091047735244777,260938.8561842306
2026-05,경기,부천시,도소매업,9933,0.3397,71.0,0.03468237189167422,302759.17044196115
2026-05,경기,부천시,보건사회복지,9901,-0.7182,16.2,0.03949096050903949,315963.23805676197
2026-05,경기,부천시,부동산업,3337,0.0191,48.2,0.023524123464189393,307986.1072819898
2026-05,경기,부천시,숙박음식점업,1312,0.9027,91.7,0.07698170731707317,266519.77134146343
2026-05,경기,부천시,운수창고업,5956,2.8709,99.9,0.1890530557421088,199481.83344526528
2026-05,경기,부천시,전문과학기술,8468,0.2504,64.3,0.03595890410958904,299170.06140765233
2026-05,경기,부천시,정보통신업,2040,0.147,56.8,0.03357843137254902,327213.3137254902
2026-05,경기,부천시,제조업,31110,-0.4593,24.9,0.021697203471552556,350651.16425586626
2026-05,경기,부천시,협회수리개인,2145,0.3649,72.4,0.045454545454545456,266407.6083916084
2026-05,경기,성남시,건설업,12134,0.6524,84.1,0.09539311026866655,388282.183945937
2026-05,경기,성남시,교육서비스업,1882,0.4273,76.0,0.03374070138150903,268872.35919234855
2026-05,경기,성남시,금융보험업,5030,-1.0931,6.1,0.016302186878727636,523642.9701789264
2026-05,경기,성남시,기타,36986,-0.6655,17.8,0.01931812036986968,369520.55156004976
2026-05,경기,성남시,도소매업,48093,-0.334,29.4,0.02434865780882873,393922.8045661531
2026-05,경기,성남시,보건사회복지,15152,-0.8881,10.3,0.037024815205913414,345273.1282998944
2026-05,경기,성남시,부동산업,9949,0.0382,49.4,0.033118906422756056,342283.0495527189
2026-05,경기,성남시,수도하수폐기물,2720,-0.5027,23.5,0.027022058823529413,357901.5
2026-05,경기,성남시,숙박음식점업,3975,0.6966,85.4,0.07610062893081761,273681.58993710694
2026-05,경기,성남시,운수창고업,8605,-0.2508,32.8,0.02388146426496223,366380.25101685064
2026-05,경기,성남시,전기가스,2876,-0.5539,21.4,0.016863699582753824,535173.1432545201
2026-05,경기,성남시,전문과학기술,36139,-0.3213,29.8,0.03061789202800299,369944.9221063117
2026-05,경기,성남시,정보통신업,85988,-1.1257,5.7,0.018740987114481092,486861.2222635717
2026-05,경기,성남시,제조업,66904,-0.8944,10.1,0.02025289967714935,452117.1663876599
2026-05,경기,성남시,협회수리개인,3857,0.2018,60.4,0.034353124189784805,283773.8190303345
2026-05,경기,수원시,건설업,8788,0.6963,85.3,0.08676604460628129,367296.64770141104
2026-05,경기,수원시,교육서비스업,1514,0.4335,76.2,0.03269484808454425,248869.26023778072
2026-05,경기,수원시,금융보험업,2616,-1.0209,7.5,0.017201834862385322,468142.7217125382
2026-05,경기,수원시,기타,22776,-0.2039,34.4,0.02814365999297506,279375.3433438707
2026-05,경기,수원시,도소매업,13501,0.1113,54.2,0.033553070142952376,335917.64610028884
2026-05,경기,수원시,보건사회복지,17091,-0.7247,15.9,0.04075244280615529,321817.22895090986
2026-05,경기,수원시,부동산업,6890,0.3768,73.3,0.03454281567489115,287319.1030478955
2026-05,경기,수원시,수도하수폐기물,605,-0.8226,12.3,0.010743801652892562,458650.347107438
2026-05,경기,수원시,숙박음식점업,4701,0.6468,84.0,0.07317592001701766,260835.01382684536
2026-05,경기,수원시,운수창고업,5194,-0.1988,34.8,0.027531767423950713,375519.7997689642
2026-05,경기,수원시,전문과학기술,25958,0.0762,51.6,0.033689036135295475,318189.953771477
2026-05,경기,수원시,정보통신업,3700,-0.0083,46.1,0.025945945945945945,343679.44324324327
2026-05,경기,수원시,제조업,163084,-1.4252,2.7,0.007125162492948419,556428.8385126683
